4-HYDROXYPHENYLPYRUVATE_BIOSYNTHESIS	4-hydroxyphenylpyruvate biosynthesis	AT5G51690,AT5G53970,AT1G62960
SALICYLATE_BIOSYNTHESIS_I	salicylate biosynthesis I	AT1G74710,AT1G18870
TRANS-CINNAMOYL-COA_BIOSYNTHESIS	trans-cinnamoyl-CoA biosynthesis	AT3G53260,AT5G04230,AT3G10340,AT2G37040
SALICYLATE_GLUCOSIDES_BIOSYNTHESIS_II	salicylate glucosides biosynthesis II	AT3G21750,AT1G73880
SALICYLATE_GLUCOSIDES_BIOSYNTHESIS_III	salicylate glucosides biosynthesis III	AT2G43820
SALICYLATE_GLUCOSIDES_BIOSYNTHESIS_IV	salicylate glucosides biosynthesis IV	AT2G43840,AT2G43820
CHORISMATE_BIOSYNTHESIS	chorismate biosynthesis	AT2G21940,AT1G22410,AT1G48860,AT5G66120,AT4G33510,AT2G45300,AT4G39980,AT3G06350,AT1G48850,AT4G39540
HYPUSINE_BIOSYNTHESIS	hypusine biosynthesis	AT3G58180
ALANINE_BIOSYNTHESIS_II	alanine biosynthesis II	AT1G70580,AT1G17290,AT1G23310,AT1G72330,AT1G23320,AT1G70560
ALANINE_BIOSYNTHESIS_III	alanine biosynthesis III	AT1G08490,AT5G65720
ARGININE_BIOSYNTHESIS_II_	arginine biosynthesis II (acetyl cycle)	AT5G10920,AT3G57560,AT2G19940,AT3G27740,AT2G22910,AT4G37670,AT1G75330,AT1G80600,AT1G29900
CITRULLINE-NITRIC_OXIDE_CYCLE	citrulline-nitric oxide cycle	AT5G10920
ASPARAGINE_BIOSYNTHESIS_I	asparagine biosynthesis I	AT5G65010,AT5G10240,AT3G47340
CYANIDE_DETOXIFICATION	cyanide detoxification	AT3G61440,AT5G22300
ASPARAGINE_BIOSYNTHESIS_III_	asparagine biosynthesis III (tRNA-dependent)	AT3G25660,AT1G48520
ASPARTATE_BIOSYNTHESIS	aspartate biosynthesis	AT5G51690,AT1G62800,AT2G30970,AT4G31990,AT1G62960,AT5G19550,AT5G11520
BETA;-ALANINE_BIOSYNTHESIS_II	beta;-alanine biosynthesis II	AT5G65940,AT1G06550,AT4G13360,AT4G16210,AT4G16800,AT5G10480,AT3G60510,AT4G31810,AT4G29010,AT3G24360,AT3G08860,AT1G55320,AT3G06860
BETA;-ALANINE_BIOSYNTHESIS_I	beta;-alanine biosynthesis I	AT1G62830,AT4G29720,AT3G13682,AT3G10390,AT4G16310,AT2G43020
URACIL_DEGRADATION_	uracil degradation (reductive)	AT3G17810,AT5G12200,AT5G64370
CYSTEINE_BIOSYNTHESIS_I	cysteine biosynthesis I	AT4G35640,AT3G59760,AT1G55920,AT3G22460,AT5G28020,AT3G04940,AT5G28030,AT2G17640,AT3G03630,AT5G56760,AT1G55880,AT4G14880,AT2G43750,AT3G13110
HOMOCYSTEINE_AND_CYSTEINE_INTERCONVERSION	homocysteine and cysteine interconversion	AT3G57050,AT4G28410,AT4G23590,AT4G23600
GLUTAMATE_BIOSYNTHESIS_IV	glutamate biosynthesis IV	AT2G41220,AT5G53460
GLUTAMATE_BIOSYNTHESIS_V	glutamate biosynthesis V	AT5G04140
GLUTAMINE_BIOSYNTHESIS_I	glutamine biosynthesis I	AT5G16570,AT1G66200,AT1G48470,AT3G17820,AT5G37600,AT5G35630
GLUTAMINE_BIOSYNTHESIS_III	glutamine biosynthesis III	AT5G16570,AT4G26970,AT3G58750,AT3G60100,AT3G58740,AT2G05710,AT2G44350,AT1G66200,AT4G35650,AT5G37600,AT5G35630,AT1G54340,AT5G14590,AT3G14940,AT1G53310,AT4G35260,AT2G42600,AT4G15530,AT3G09810,AT1G65930,AT2G17130,AT5G04140,AT4G35830,AT3G17820,AT1G48470,AT2G42790,AT5G03290
GLYCINE_BIOSYNTHESIS	glycine biosynthesis	AT4G32520,AT2G13360,AT4G13930,AT1G22020,AT4G37930,AT5G26780,AT1G08630,AT1G70580,AT3G04520,AT1G23310,AT4G13890,AT1G36370
HISTIDINE_BIOSYNTHESIS	histidine biosynthesis	AT1G09795,AT5G10330,AT5G63890,AT1G31860,AT3G22425,AT4G39120,AT2G36230,AT4G14910,AT4G26900,AT1G71920,AT1G58080
ISOLEUCINE_BIOSYNTHESIS_I_	isoleucine biosynthesis I (from threonine)	AT3G49680,AT3G48560,AT1G10070,AT3G23940,AT3G58610,AT1G10060,AT3G10050,AT1G50090,AT5G65780
LEUCINE_BIOSYNTHESIS	leucine biosynthesis	AT2G43090,AT1G23320,AT1G80560,AT3G49680,AT4G13430,AT1G70560,AT1G10070,AT1G80555,AT1G74040,AT1G31180,AT1G10060,AT1G18500,AT5G14200,AT1G50090,AT5G65780
LYSINE_BIOSYNTHESIS_VI	lysine biosynthesis VI	AT3G02020,AT5G13280,AT3G53580,AT1G14810,AT4G19710,AT5G14060,AT3G60880,AT5G11880,AT5G21060,AT2G44040,AT3G59890,AT2G45440,AT4G33680,AT3G14390,AT1G31230
METHIONINE_SALVAGE_PATHWAY	methionine salvage pathway	AT4G26200,AT5G65800,AT4G38800,AT1G49820,AT1G02500,AT4G08040,AT3G49700,AT1G01480,AT2G36880,AT3G17390,AT2G22810,AT4G11280,AT4G34840,AT4G37770,AT4G01850
S-METHYLMETHIONINE_CYCLE_PLANTCYC	S-methylmethionine cycle	AT3G25900,AT3G63250,AT5G49810,AT3G22740
METHIONINE_BIOSYNTHESIS_II	methionine biosynthesis II	AT3G01120,AT5G20980,AT3G25900,AT5G17920,AT3G63250,AT4G23590,AT4G23600,AT3G03780,AT3G57050,AT4G28410,AT3G22740,AT2G17265
S-ADENOSYL-L-METHIONINE_CYCLE_II	S-adenosyl-L-methionine cycle II	AT5G20980,AT5G17920,AT3G23810,AT1G02500,AT3G03780,AT2G36880,AT3G17390,AT4G13940,AT4G01850
ORNITHINE_BIOSYNTHESIS	ornithine biosynthesis	AT3G57560,AT2G19940,AT4G37670,AT1G80600,AT2G22910
HOMOSERINE_BIOSYNTHESIS	homoserine biosynthesis	AT3G02020,AT5G13280,AT1G14810,AT4G19710,AT5G14060,AT5G21060,AT1G31230
HOMOMETHIONINE_BIOSYNTHESIS	homomethionine biosynthesis	MAM2,AT5G23020,AT3G49680,AT3G19710,AT5G23010,AT1G50110,AT1G50090
NICOTIANAMINE_BIOSYNTHESIS	nicotianamine biosynthesis	AT5G04950,AT5G56080,AT1G56430,AT1G09240
CITRULLINE_BIOSYNTHESIS	citrulline biosynthesis	AT4G08870,AT5G46180,AT4G08900,AT3G55610,AT1G75330,AT5G38710,AT3G30775,AT2G39800,AT5G60540
PHENYLALANINE_BIOSYNTHESIS_II	phenylalanine biosynthesis II	AT2G27820,AT3G07630,AT5G10870,AT1G69370,AT5G22630,AT1G11790,AT1G08250,AT3G29200,AT2G22250,AT3G44720
ARGININE_DEGRADATION_VI_	arginine degradation VI (arginase 2 pathway)	AT4G08870,AT5G14800,AT5G46180,AT4G08900
